UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader
9,Y,,Weather System,,Cold Front,days,>1000 sq m,decades,25.4167,-81.9167,N. America,USA,22010,estuary,Everglades National Park,12006,years,months,years,Y,10-100 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,abundance,vertebrates,multiple trophic levels,no response,no response,N,air,air temperature,,decrease,extreme - sig,Y,,,,,,,,"I think this paper ('#9') might be mis-labeled? I think #9 on the 'assigned_papers' spreadsheet is from Portugal (Cardoso et al., 2008)? Just checking! -Alex"
9,Y,,Weather System,,Cold Front,days,>1000 sq m,decades,25.4167,-81.9167,N. America,USA,22010,estuary,Everglades National Park,12006,years,months,years,Y,10-100 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,functional community structure,vertebrates,multiple trophic levels,decrease,large - sig,N,,,,,,,,,,,,,,
9,Y,,Weather System,,Drought,months,>1000 sq m,decades,25.4167,-81.9167,N. America,USA,72011,estuary,Everglades National Park,12006,years,months,years,Y,10-100 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,abundance,vertebrates,multiple trophic levels,decrease,large - sig,N,,,,,,,Salinity/Conductivity,,,increase,large - non-sig,Y,,
9,Y,,Weather System,,Drought,months,>1000 sq m,decades,25.4167,-81.9167,N. America,USA,72011,estuary,Everglades National Park,12006,years,months,years,Y,10-100 sq m,Y,>1000 sq m,Yes with a statistical context-specific definition,,functional community structure,vertebrates,multiple trophic levels,increase,large - sig,N,,,,,,,,,,,,,,
17,N,,Climate System,ENSO,Heatwave,months,100-1000 sq m,decades,-25.9689,114.1142,Australia/Oceania,Australia,22011,estuary,Shark Bay,32011,none,single sample,years,N,1-10 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,no response,no response,Y,water,temperature,,increase,large - non-sig,Y,,,,,,,No statistical testing ... ?,
17,Y,,Weather System,,Flood,months,100-1000 sq m,decades,-25.9689,114.1142,Australia/Oceania,Australia,122010,estuary,Shark Bay,32011,none,single sample,years,N,1-10 sq m,Y,10-100 sq m,Yes with a non-statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,decrease,large - non-sig,Y,water,river flow,discharge,increase,large - non-sig,Y,,,,,,,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,biomass,algae-micro,primary producers,no response,no response,N,water,water retention time,water retention time (days),decrease,large - non-sig,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-TP,decrease,large - non-sig,N,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,taxonomic community structure,algae-micro,primary producers,multidirectional,small - sig,N,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),TSS/sediment,increase,large - non-sig,N,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,biomass,zooplankton,multiple trophic levels,increase,large - non-sig,N,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-SRP/PO4,decrease,large - sig,N,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,functional community structure,zooplankton,multiple trophic levels,multidirectional,small - non-sig,N,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NO3 (includes NO3+NO2),no response,no response,N,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NH4,no response,no response,N,,
14,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,decades,52.900129,-1.233811,Europe,United Kingdom,92006,lake,Attenborough Nature Reserve,32005,months,months,months,Y,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),SiO2,no response,no response,N,,
6,,N,Weather System,,Cold Front,days,100-1000 sq m,undefined,25.43,-81.03,N. America,USA,12010,estuary,Shark River Estuary,42012,none,none,years,N,10-100 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,,,,,,,,,,,,,,,,,,,"I think this one should probably be excluded. The ""extreme"" event occurred in 2010, and the biol. data (on Snook distributions) were from 2012-24. Further, the biological data taken were not a response to cold events. Instead, they asked where in the estuary snook are when cold events occur across years, and then talk about how that spatial distribution might that influence their vulnerability. So, its not really a response in the sense we are looking for. ",I agree that this is not technically measuring a biological response to an extreme event and should be excluded.
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,density,submerged aquatic vegetation,primary producers,decrease,large - sig,N,water,temperature,,increase,large - sig,Y,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period","That use of temperature data seems fine, but maybe we should have a way to identify whether these types of data were collected specifically by authors, or accessed from other sources? Not sure if it matters..."
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,biomass,submerged aquatic vegetation,primary producers,decrease,large - sig,N,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,abundance,invertebrates,multiple trophic levels,decrease,large - sig,N,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,species richness,invertebrates,multiple trophic levels,multidirectional,no response,N,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,92013,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,diversity,invertebrates,multiple trophic levels,multidirectional,no response,N,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",
23,,Y,Climate System,The Blob,Heatwave,months,10-100 sq m,undefined,38.32389,-123.04361,N. America,USA,62014,estuary,Bodega Harbor,12014,months,months,months,Y,1-10 sq m,Y,10-100 sq m,Yes with a statistical context-specific definition,,biomass,epiphytes,multiple trophic levels,decrease,large - sig,N,,,,,,,,,,,,,"Temperature data were used from http://boon.ucdavis.edu/, and the authors used these data combined with ealier data from their sites to predict what the temperature was like at their specific sites during their sampling period",
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,infection rate,vertebrates,multiple trophic levels,increase,extreme - non-sig,Y,water,temperature,,increase,extreme - non-sig,Y,,,,,,,,
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,abundance,vertebrates,primary consumers,decrease,extreme - sig,Y,,,,,,,,,,,,,,
31,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-0.847837,-90.803862,S. America,Ecuador,92015,coastal ocean,Galapagos Marine Reserve,12013,years,months,years,Y,10-100 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,biomass,algae-micro,primary producers,decrease,large - non-sig,Y,,,,,,,,,,,,,,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,taxonomic community structure,invertebrates,multiple trophic levels,multidirectional,large - sig,N,water,soil moisture,soil moisture,increase,extreme - sig,N,pH,concentration (mass/volume - 1 sample),,increase,large - sig,N,,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NH4,decrease,large - sig,N,,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,,,,,,,,,,,,,,,P-SRP/PO4,increase,large - sig,N,,
49,N,Y,Climate System,,Cold Front,months,Regional/Continent,decades,53.916667,26.333333,Europe,Belarus,122012,catchment/watershed,Naliboki Forest,11999,years,months,years,Y,>1000 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,foodweb,vertebrates,multiple trophic levels,multidirectional,large - sig,N,,,,,,,,,,,,,This is kind of a weird one. It looks at wolf dietary responses to drought and a severe winter. I think the only reason this got caught by our search terms is that one of their prey items is beaver...,
58,Y,Y,Drought,,Drought,years,Regional/Continent,years,51.30451,1.209951,Europe,United Kingdom,11992,catchment/watershed,Little Stour Creek,91992,years,single sample,years,Y,1-10 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,abundance,invertebrates,multiple trophic levels,decrease,extreme - sig,N,water,streamflow,discharge,decrease,large - sig not tested,N,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
58,Y,Y,Drought,,Drought,years,Regional/Continent,years,51.30451,1.209951,Europe,United Kingdom,11992,catchment/watershed,Little Stour Creek,91992,years,single sample,years,Y,1-10 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,abundance,invertebrates,detritivores,decrease,extreme - sig,N,,,,,,,,,,,,,,
58,Y,Y,Drought,,Drought,years,Regional/Continent,years,51.30451,1.209951,Europe,United Kingdom,11992,catchment/watershed,Little Stour Creek,91992,years,single sample,years,Y,1-10 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic diversity,invertebrates,multiple trophic levels,increase,extreme - sig,N,,,,,,,,,,,,,,
58,Y,Y,Drought,,Drought,years,Regional/Continent,years,51.30451,1.209951,Europe,United Kingdom,11992,catchment/watershed,Little Stour Creek,91992,years,single sample,years,Y,1-10 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,taxonomic community structure,invertebrates,multiple trophic levels,multidirectional,unspecified/unclear,N,,,,,,,,,,,,,,
1,N,Y,Drought,,Drought,years,Regional/Continent,centuries,38.79888889,122.3147222,N. America,USA,1987,stream/river,"Hunting/Knoxville Creeks, Big Sulfur Creeks",1984,years,years,years,Y,<1 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,community composition,invertebrates,secondary consumers,multidirectional,,N,sediment,sediment,,increase,,N,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
1,N,Y,Drought,,Drought,years,Regional/Continent,centuries,38.79888889,122.3147222,N. America,USA,1987,stream/river,"Hunting/Knoxville Creeks, Big Sulfur Creeks",1984,years,years,years,Y,<1 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,invertebrates,secondary consumers,increase,,N,sediment,channel form,,decrease,,N,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,abundance,bacteria,NA,increase,large - sig,N,water,streamflow,discharge,decrease,large - non-sig,N,Salinity/Conductivity,concentration (mass/volume - 1 sample),,no response,no response,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,diversity,invertebrates,secondary consumers,decrease,small - non-sig,N,water,temperature,,increase,small - non-sig,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),P-TP,decrease,large - sig,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,water,dissolved oxygen,,no response,no response,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-TN,decrease,small - non-sig,N,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
10,Y,Y,Drought,,Drought,months,Regional/Continent,undefined,-45.294825,169.800054,Australia/Oceania,New Zealand,121998,stream/river,Otago Region,1990,months,months,months,Y,<1 sq m,N,Regional/Continental,No - extreme event mentioned but not defined,,,,,,,,water,turbidity,,decrease,small - non-sig,N,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2000,stream/river,Pearl River,1988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,fish,tertiary consumers,multidirectional,small - non-sig,N,water,river flow,discharge,decrease,extreme - non-sig,N,,,,,,,"Some fish increased abundance; some fish decreased abundance, hence, multidirectional response",
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2000,stream/river,Pearl River,1988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,species richness,fish,tertiary consumers,decrease,small - non-sig,N,,,,,,,,,,,,,,
19,N,Y,Drought,,Drought,months,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2007,stream/river,Pearl River,1988,months,months,months,Y,1-10 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,water,river flow,discharge,no response,no response,N,,,,,,,,
19,N,Y,Cyclone/Typhoon,"Hurricane Katrina, Rita",Flood,weeks,Regional/Continent,undefined,30.366795,-89.720961,N. America,USA,2005,stream/river,Pearl River,1988,months,months,months,Y,1-10 sq m,N,>1000 sq m,No - extreme event mentioned but not defined,,species richness,fish,tertiary consumers,decrease,large - non-sig,N,,,,,,,,,,,,,,
4,Y,N,Climate System,,Streamflow,days,>1000 sq m,undefined,38.316035,78.680131,N. America,USA,,stream/river,Shenandoah National Park,61983,years,years,years,Y,100-1000 sq m,N,>1000 sq m,Yes with a statistical general definition,,abundance,fish,multiple trophic levels,multidirectional,large - sig,,,,,,,,,,,,,,"The results are model results - This study did not target a single extreme event, but used historic streamflow and air temperature data to predict the effects of low and high streamflows on YOY Brook Trout abundance at 115 stream sites; Distal event: I put climate system, because streamflow is affected by both precipitation and temperature and the authors were looking at extremely low and high streamflows; Continuous data prior: I put YES, because most sites were sampled numerous times, but not every year for the entire study",
12,N,N,Climate System,,Waves,days,>1000 sq m,undefined,23.81666667,-45.4,S. America,Brazil,2012,marine intertidal,Araca Bay,92011,months,none,single sample,N,<1 sq m,Y,>1000 sq m,No - extreme event not mentioned but inferred,,community composition,macrobenthos,multiple trophic levels,multidirectional,,N,water,,,,,,,,,,,,"This is a weird one. It shows that spatial factors, rather than environmental processes, are more important to the structure of macrobenthic assemblages. All the results are based on which variables explain a higher proportion of the variance. While there were two 'storm' events in the study, no direct connection or statistical analysis is made to either event.","authors say that region is subject to frontal systems that increase current speed by 8 fold and produce storm waves with heights up to 6.4 m. Samples were collected four times throughout the year (3 month intervals) and 2 sampling times were following storms, but the storms do not seem to be anomolous to regular weather in the region. They interpret environmental parameters in terms of storms, fine sediment increased from Spetember (after storms), salinity was lower during storm season. I guess only thing I might add to the spreadsheet is the environmental variable measured (if we keep this study in the meta-analysis) - Physical responses include: Temperature - multidirectional (seasonal variation stronger than storm effect), Salinity - decreases, Mean grain size - no change, silt and clay (%) - increases, Fine sand (%) - increases, Coarse sand (%) - decreases, pebbles (%) - decreases, organic matter (%) - increases, CaCO3 (%) - decreases, Wave height (m) - increases, Wave Power (W/s) - increases. It seems like only wave height and wave power are publicly available raw data (from NOAA). The mean and se are available for every variable at each sampling time as an appendix table (pdf, not spreadsheet). Whether we include this I guess depends on how we define extreme event ... 21 ft waves aree kind of extreme, but if they are normal for the region then *technically* not extreme. "
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,occupancy rate,vertebrates,primary consumers,multidirectional,extreme - sig,N,air,temperature,,,,N,,,,,,,"three of the frog species were resilient to the flood (occupied 60% of sites post flood), three species were not resilient (occupied 20% of sites or less post flood) - hence multi-directional","I might suggest changing community composition to species evenness  (overall diversity did not decrease, no species went extinct, but abundance of some groups decreased). I may not be adept at interpreting models like this, but since there were no p-values or hypothesis-testing reported, I wouldn't classify the results as “significant” - I might also suggest downgrading from “extreme” to large because of the multi directionality of the results (some species were not affected by the flooding).
I added physical variables measured in the study- although they were used more as covariates than responses. Slope was the most important physical parameter - I used channel form to indicate this, but there could be a more specififc descriptor."
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,community composition,vertebrates,primary consumers,decrease,large - non-sig,N,water,temperature,,,,N,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,colonization rate,vertebrates,primary consumers,multidirectional,extreme - sig,N,landforms/topography,channel form,channel depth,increase,large - non-sig,N,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,extinction rate,vertebrates,primary consumers,multidirectional,extreme - sig,N,,,,,,,,,,,,,,
21,Y,Y,Precipitation,,Flood,months,>1000 sq m,centuries,41.498281,-96.027326,N. America,USA,2011,floodplain,Missouri River,2009,years,none,years,N,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,percent cover,vegetation,primary producers,decrease,extreme - sig,N,,,,,,,,,,,,,,
32,N,Y,Drought,,Drought,months,>1000 sq m,years,33.3444,-81.7412,N. America,USA,1989,wetland,Savannah River Site,71993,single sample,none,years,N,>1000 sq m,Y,>1000 sq m,Yes with a non-statistical general definition,,population size structure,amphibians,secondary consumers,,large - sig,N,,,,,,,,,,,,,"They sampled around 3 different droughts (1989-1990, 2001-2002, 2011-2013). field measures of popns were from different times since droughts, but not chronological- they pieced together the times from samples post-different droughts.",I would argue that they did make a climate linkage. There's a paragraph in the intro that talks about droughts and climate change.
